scenario,loop_timestamp,task_completed,replans_done,n_cycles,scene_model,plan_model,sim_model,validator_model,scene_time_mean,plan_time_mean,sim_time_mean,validator_time_mean,n_total_stages,n_pre_matching,n_pre_non_matching,n_post_matching,n_post_non_matching,executed_actions_count,success_rate_general,success_rate_scene,success_rate_plan,success_rate_sim,success_rate_validator
TennisBall,2026-04-20_12-54-15,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.473293083499811,11.52745641150068,2.772343341999658,5.216901754500213,3,3,0,2,1,3,1,1,1,1,1
TennisBall,2026-04-20_12-56-15,True,2,3,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.766831909333632,17.267012353333484,3.1704911300003005,5.6505529263332495,5,4,1,3,1,4,1,0.66,1,0.66,1
TennisBall,2026-04-20_13-01-01,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.111123644001054,10.128024102999916,2.97451599750093,5.2302640055001275,3,3,0,2,1,3,1,1,1,1,1
TennisBall,2026-04-20_13-02-57,True,2,3,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.570209761665561,13.844459860999754,2.4330372556663256,5.1274096503335995,3,3,0,1,2,3,1,1,1,1,1
TennisBall,2026-04-20_13-05-19,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.334507820999534,17.620607934500185,2.728818011501062,5.6207132539996865,3,3,0,2,1,3,1,0.5,1,1,1
TennisBall,2026-04-20_13-07-16,True,2,3,gpt-5.2,o3,gpt-5.2,gpt-5.2,11.1528881393333,17.332736336000988,2.8185939756670755,5.519157061000038,5,4,1,3,1,4,1,0.66,1,1,0.88
BoxesAside,2026-04-20_13-14-02,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.989284772002065,33.163376991000405,3.536487568000666,5.775989032875259,4,4,0,4,0,4,1,1,1,1,1
BoxesAside,2026-04-20_13-16-24,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.932130514000164,50.41304719800064,3.436886999001217,5.507589601875225,4,4,0,4,0,4,1,1,1,1,1
BoxesAside,2026-04-20_13-18-41,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.953584572001091,17.40477408300012,2.86613199850035,5.215071698999736,4,4,0,3,1,4,1,1,1,1,0.875
BoxesAside,2026-04-20_13-21-01,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.623424511999474,13.941569648499353,2.7810219769999094,4.970814921124884,4,4,0,3,1,4,1,1,0.5,1,0.875
BoxesAside,2026-04-20_13-23-11,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.277614179499324,10.824773866499527,2.867707301000337,5.471821801874739,4,4,0,3,1,4,1,1,1,1,0.875
BoxesAside,2026-04-20_13-25-14,True,0,1,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.706140158999915,17.8623762240004,3.79538942399995,5.136044607125314,4,4,0,4,0,4,1,1,1,1,1
BoxesAside,2026-04-20_13-27-01,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.310038319998966,21.767061467499843,3.1449893315002555,5.555835177999597,4,4,0,3,1,4,1,1,1,1,0.875
BoxesAside,2026-04-20_13-29-11,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.677951143000428,26.02756051150027,2.678892653500043,5.143676982874922,4,4,0,3,1,4,1,1,1,1,0.875
BoxesAside,2026-04-20_13-31-31,True,2,3,gpt-5.2,o3,gpt-5.2,gpt-5.2,9.542105390667226,23.784852685333437,2.8464509943320686,5.588493221666188,6,6,0,4,2,6,1,0.33,0.33,1,0.91
BoxesAside,2026-04-20_13-36-00,True,1,2,gpt-5.2,o3,gpt-5.2,gpt-5.2,10.950905641499048,16.53205792749941,2.8847724679999374,4.88738167000065,4,4,0,3,1,4,1,1,1,1,0.875
