file_path,scenario_id,prompt_name,run_id,model_name,repeat_idx,image_path,task_text,inference_time_sec,json_parse_ok,error,plan_correctness,notes
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r6.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,6,,Pick up the darker box.,8.258925565998652,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r7.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,7,,Pick up the darker box.,6.352592014000038,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r8.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,8,,Pick up the darker box.,6.386466510999526,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r9.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,9,,Pick up the darker box.,12.203399374999208,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/gpt-5.2/bc_only_graph__gpt-5.2__graph_spatial__no_image__r10.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,gpt-5.2,10,,Pick up the darker box.,6.791063546999794,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r1.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,1,,Pick up the darker box.,29.13825399199959,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r2.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,2,,Pick up the darker box.,14.79154301699964,False,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r3.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,3,,Pick up the darker box.,18.69461549299922,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r4.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,4,,Pick up the darker box.,25.95743965099973,True,,1.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r5.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,5,,Pick up the darker box.,21.348004554,True,,1.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r6.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,6,,Pick up the darker box.,21.94073931999992,True,,1.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r7.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,7,,Pick up the darker box.,11.684152027000891,True,,1.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r8.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,8,,Pick up the darker box.,22.642662255000687,True,,1.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r9.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,9,,Pick up the darker box.,20.4499582619992,True,,0.0,
bc_only_graph/graph_spatial/2026-03-16_12-41-30/o3/bc_only_graph__o3__graph_spatial__no_image__r10.json,bc_only_graph,graph_spatial,2026-03-16_12-41-30,o3,10,,Pick up the darker box.,16.100339384000108,False,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r1.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,1,images/2boxesaside.png,Pick up the darker box.,15.371806121998816,True,,0.5,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r2.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,2,images/2boxesaside.png,Pick up the darker box.,16.71289851599977,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r3.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,3,images/2boxesaside.png,Pick up the darker box.,18.13711998999861,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r4.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,4,images/2boxesaside.png,Pick up the darker box.,16.185364371000105,True,,0.5,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r5.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,5,images/2boxesaside.png,Pick up the darker box.,14.530509939000694,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r6.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,6,images/2boxesaside.png,Pick up the darker box.,14.585971837001123,True,,0.5,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r7.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,7,images/2boxesaside.png,Pick up the darker box.,14.671418654001172,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r8.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,8,images/2boxesaside.png,Pick up the darker box.,15.889879726999425,True,,0.5,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r9.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,9,images/2boxesaside.png,Pick up the darker box.,16.820067772001494,True,,0.5,
bc_with_image/image_graph/2026-03-16_12-16-03/gpt-5.2/bc_with_image__gpt-5.2__image_graph__2boxesaside__r10.json,bc_with_image,image_graph,2026-03-16_12-16-03,gpt-5.2,10,images/2boxesaside.png,Pick up the darker box.,18.82415888899959,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r1.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,1,images/2boxesaside.png,Pick up the darker box.,41.207472613999926,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r2.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,2,images/2boxesaside.png,Pick up the darker box.,20.15721759799999,True,,0.0,
bc_with_image/image_graph/2026-03-16_12-16-03/o3/bc_with_image__o3__image_graph__2boxesaside__r3.json,bc_with_image,image_graph,2026-03-16_12-16-03,o3,3,images/2boxesaside.png,Pick up the darker box.,26.896900462000303,True,,1.0,
