scenario_id,prompt_name,run_id,model_name,repeat_idx,plan_correctness,notes
sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,6,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,7,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,8,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,9,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,gpt-5.2,10,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,1,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,2,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,3,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,4,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,5,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,6,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,7,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,8,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,9,1,
sb_only_graph,graph_sides,2026-03-16_13-10-15,o3,10,1,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,1,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,2,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,3,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,4,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,5,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,6,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,7,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,8,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,9,1,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,gpt-5.2,10,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,1,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,2,1,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,3,1,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,4,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,5,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,6,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,7,1,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,8,1,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,9,0,
sb_only_graph,graph_spatial,2026-03-16_11-57-19,o3,10,1,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,1,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,2,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,3,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,4,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,5,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,6,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,7,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,8,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,9,0,
sb_with_image,image_graph,2026-03-16_11-36-07,gpt-5.2,10,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,1,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,2,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,3,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,4,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,5,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,6,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,7,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,8,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,9,0,
sb_with_image,image_graph,2026-03-16_11-36-07,o3,10,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,1,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,2,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,3,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,4,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,5,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,6,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,7,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,8,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,9,0,
sb_with_image,only_image,2026-03-16_11-36-07,gpt-5.2,10,0,
